,PM2.5,Land_EQI,Sociod_EQI,Built_EQI,CLU50_1,PM10,SO2,NO2,O3,CO,CN,Disel,CS2,Air_EQI,Water_EQI,EQI,smoking_data,LCI_smoking,UCI_smoking
2002,11.63,-0.1446335,0.0144798,0.4831855,13,10.01,244.4106595,671.3803913,19158.29,540.0326761,0.0075415,0.3554966,0.000118,0.1890579,-0.0502858,0.2,31.2,26.9,36.3
1917,12.36,-0.0609908,-0.5875934,-0.0841838,26,13.12,453.41772,1239.16727,7464.81,1083.577848,0.0268576,0.3157422,0.000777,0.768546,0.9232977,0.17,30.9,26.8,35.3
802,8.77,0.9390461,0.5823153,0.1577029,42,10.67,102.501827,321.1614817,3905.24,193.3664669,0.0037262,0.2947116,4.94e-05,-0.9822188,-1.151928,-0.02,24.7,21.0,28.9
20,11.6,-1.450618,-1.155465,-1.018063,12,15.63,14.0154881,145.3459429,628.37,8.9966306,0.0049626,0.1433966,0.00121,-0.5155603,-1.482703,-1.68,28.0,23.8,33.2
284,9.75,-1.92782,-0.3568986,-0.002414,15,14.4,56.990035,291.6991764,5683.08,132.7487752,0.0286218,0.3387888,0.000567,0.406904,-1.548194,-0.82,28.2,24.2,32.6
1036,10.69,0.2947197,2.085114,0.1831501,43,9.71,71.214447,522.995276,4911.66,157.2040686,0.0213438,0.4828935,0.000856,0.790592,-1.531965,0.94,22.9,19.7,26.6
884,13.17,-0.5074439,-1.855024,-0.6665448,19,15.83,385.2194336,1058.462634,5693.13,753.2560832,0.0098239,0.2510263,0.000133,0.0492146,-0.3305221,-1.14,35.7,31.4,40.2
2093,7.69,-0.7470673,-0.9177995,0.1998585,7,5.45,35.9007899,279.6028013,2008.89,625.7706865,0.0050493,0.1224942,5.87e-05,-0.7618369,0.660063,-0.63,25.3,21.3,30.0
1472,8.54,0.8302342,0.6242387,-0.2136786,42,10.05,390.7996508,587.9917159,5900.06,691.8690455,0.0189351,0.2059331,0.000211,0.483541,0.8655124,0.72,27.7,24.0,32.5
878,12.97,-0.7494991,-1.159165,0.147517,7,15.1,292.3713458,859.9632134,5478.16,737.058458,0.0142415,0.2509556,0.000213,-0.0463636,-0.2145997,-0.66,34.4,30.3,38.6
995,11.01,-1.568565,-0.5062726,-0.1088805,11,6.4,36.3984871,189.0753287,2063.99,134.0006965,0.0122916,0.1532368,0.000662,0.2193399,-1.547939,-0.88,27.8,23.8,31.9
2070,11.18,-0.4726009,-0.3181547,1.152513,18,7.01,98.1577105,506.2744682,2395.02,293.1700574,0.0408005,0.6777225,0.00527,1.000305,0.588951,0.63,28.4,24.3,32.7
2177,10.8,-1.832645,-1.497167,0.2721229,15,8.85,219.2290978,2146.781031,9300.71,361.9114802,0.0092799,0.2131458,0.000147,0.2419053,0.604798,-0.79,28.0,23.7,32.6
3,12.24,-0.8274103,-0.6000178,-1.290857,4,14.92,7.6309534,127.7799355,563.48,2.9519756,0.0096129,0.2117407,0.000225,0.065289,-0.9681726,-1.09,29.6,25.3,34.1
2323,10.82,-0.8046939,1.325729,-0.1268454,23,12.75,965.3113052,1075.41465,10768.65,1672.789545,0.0108902,0.2439664,0.000248,0.4541219,-1.490367,0.12,26.2,22.4,30.4
2568,9.84,0.5907286,2.104066,0.2083733,43,12.65,2491.379399,1919.112116,10665.89,1008.400702,0.0314426,0.646981,0.000527,1.171156,0.8444439,1.61,23.9,20.6,27.5
537,12.49,0.8003552,0.3975611,0.9926732,45,8.27,632.7669379,311.2538954,3078.63,224.4651924,0.025826,0.7717932,0.00428,0.9622045,1.177945,1.29,19.4,16.5,22.7
11,11.79,-1.716982,-1.242582,-0.7427115,12,8.64,21.0797059,134.7725033,641.07,18.1865159,0.0044069,0.1261311,0.000118,-0.3624081,-1.24212,-1.58,25.8,22.0,30.1
846,12.68,-0.3056179,-2.600674,-0.659858,19,15.32,218.5937428,688.4104415,5215.21,651.6880756,0.0145281,0.2026015,0.000229,-0.1385687,-0.3522876,-1.44,36.0,31.5,40.9
1252,14.24,0.1118464,-1.45434,0.8824422,37,22.77,216.4741346,1371.589451,9129.31,330.7878902,0.099046,2.4154531,0.00378,2.125994,-1.520889,0.25,31.7,28.1,35.6
499,6.96,1.288864,1.222741,2.552453,47,8.31,11.1300952,276.8371343,3054.0,385.826661,0.0023882,0.0400065,5.55e-05,-1.427759,0.9733403,1.44,16.6,14.1,19.4
1957,8.4,1.147236,1.460084,-0.0585609,46,13.39,161.8214383,296.8975734,4653.87,96.3812557,0.0048788,0.3502569,0.000109,-0.4396708,0.5620875,0.81,22.3,19.2,25.5
1968,11.27,-0.4107437,-0.6606766,-0.1981151,17,10.78,122.7623564,518.7213317,6386.88,593.8896277,0.0090158,0.2618927,0.00014,0.0029867,0.0274384,-0.43,29.9,25.5,34.5
1753,9.15,-0.6061087,-0.2665573,0.2470107,8,14.16,323.9037336,927.9926806,5242.02,1401.327568,0.0329301,0.2887531,0.000809,0.4486439,0.053261,-0.01,22.5,19.4,25.9
1486,10.04,-0.9501297,-0.1048087,0.2554826,3,9.12,197.8903315,271.0026908,7983.04,1053.453068,0.0181527,0.1874704,0.000282,0.4166197,1.020276,0.12,31.1,27.0,36.0
842,12.77,-0.1297946,-1.072971,-0.3557219,9,14.75,231.0814088,890.3605893,6374.68,744.3294074,0.0130354,0.34552,0.000183,0.2336023,-0.2049489,-0.53,32.8,29.1,37.0
785,9.61,0.6141661,0.5397909,0.5649423,41,13.28,48.879167,433.3207581,4419.76,214.2295475,0.0199501,0.5225228,0.000483,0.3618085,0.1097516,0.73,28.8,25.5,32.5
2419,6.79,0.4327442,-1.307509,0.074509,9,8.95,2.5654812,98.1924898,3568.44,684.2078932,0.0005071,0.0326832,9.8e-06,-1.785726,-1.539381,-1.27,27.1,22.9,31.5
2258,5.67,0.4285506,0.6006799,0.4335032,21,4.32,13.4177177,211.08929,2277.97,324.3279315,0.0035415,0.0601468,6.2e-06,-1.084377,0.9859483,0.31,20.6,17.4,24.1
2372,10.68,-0.7901706,2.646729,-0.2330764,48,13.57,584.492979,1244.007767,8594.26,1162.725031,0.0261025,0.3505089,0.000981,0.9186993,-1.493778,0.75,20.6,17.2,24.4
344,13.2,-0.1514927,0.715409,-0.3371826,1,12.02,159.8077925,666.8408566,5825.56,363.7260478,0.0457001,0.6136993,0.00108,0.8395509,1.21579,0.63,28.6,24.5,32.8
959,9.98,-0.7467327,-0.974142,-1.523994,6,11.68,164.3707259,902.4695632,2706.79,219.3061888,0.012644,0.3441803,0.00102,0.378354,-1.554423,-1.3,26.7,22.7,31.1
22,12.05,-1.750026,-0.356845,0.054607,15,16.86,16.0850327,170.0658991,965.41,21.9949277,0.0234393,0.2907824,0.00248,0.6042639,-0.9135399,-0.56,27.0,23.3,31.0
2286,14.22,-0.1501413,1.884945,1.305249,25,22.39,549.2870924,2580.460465,8490.1,964.230081,0.1105361,2.0387997,0.00355,1.706251,-1.536214,1.46,16.4,13.8,19.3
1038,9.94,0.1291919,-0.6881882,-0.6821067,10,8.78,143.0544891,349.8210444,3032.04,441.7542411,0.0106654,0.2157695,0.000115,0.0737757,0.9366585,-0.27,27.8,23.8,32.2
201,7.88,0.9925479,-0.5973384,0.873244,36,13.34,2.6326033,23.5822241,2378.25,995.1008339,0.0030805,0.0970542,2.85e-05,-0.5206369,0.1155944,0.21,24.0,20.1,28.0
1915,13.87,0.0865483,-0.0024194,0.4883319,13,19.33,519.4510645,1822.073563,7939.97,1223.064937,0.0621599,0.6226045,0.0154,1.739764,1.05197,1.01,26.6,23.8,29.4
125,10.79,-0.0663981,-0.60045,-1.458952,5,8.57,166.9094131,390.31686,942.79,296.7058773,0.0073232,0.1141719,6e-07,-0.961915,-0.5907132,-1.23,30.5,26.5,34.8
812,9.72,0.5814747,1.775748,-0.2197224,46,17.29,75.0773402,658.0368061,4958.68,205.2288727,0.0200745,0.5183699,0.000967,0.432692,-1.431665,0.64,24.8,21.1,28.9
1230,10.67,0.4446352,1.980339,0.2196594,43,12.46,275.2427921,968.436027,5187.48,465.3587876,0.0532789,0.9364926,0.00109,1.289636,-1.545941,1.12,26.1,22.7,29.8
1914,12.16,-0.1561217,-0.5390403,-1.433844,5,12.93,538.7426239,1246.932976,6547.05,1001.074673,0.0100874,0.234553,0.000375,0.0185058,0.9324639,-0.59,28.1,23.8,32.3
708,12.9,0.7680981,0.3443235,0.3579533,21,8.96,113.8210963,454.3451948,4236.27,251.844227,0.0560886,0.7837956,0.00383,1.427008,0.9543017,1.15,24.8,21.4,28.3
2219,6.85,-0.0547081,-0.2927042,0.9991076,13,4.7,9.818158,176.5710602,978.33,211.8466751,0.0289441,0.7375988,0.00284,0.2859644,0.669779,0.46,23.3,20.1,27.2
465,12.61,-0.4546578,-0.95479,-2.486825,14,15.25,59.4201185,235.6147834,5099.82,59.6449225,0.0058762,0.2167747,0.00033,-0.4119492,-0.2314755,-1.58,26.2,22.1,30.7
346,12.01,-1.021006,-0.9461929,0.2882036,3,11.15,41.130195,238.1869616,4424.31,167.049755,0.0187387,0.2737563,0.000365,0.1472339,0.1037703,-0.47,28.4,24.1,32.5
1875,12.11,-0.8258787,0.1692662,0.2345681,2,15.29,548.9011188,1710.03821,7027.16,1089.563267,0.0426874,0.4569177,0.000964,1.140939,0.9845873,0.5,27.0,24.0,30.2
2441,7.24,1.057076,0.1490937,0.4015692,34,21.08,2.1284964,117.355063,4757.03,820.4033236,0.0071599,0.0704374,0.000292,-0.2764446,-1.535812,0.11,25.8,22.0,30.0
408,12.59,-0.0226768,-0.3597662,0.2948442,8,10.83,628.4034118,783.6678474,6558.26,730.4741506,0.0222064,0.3151783,0.00058,0.5105243,-0.3120444,0.08,26.8,22.6,31.1
319,9.64,-1.550693,0.3713959,1.194289,2,19.41,74.0752368,792.1854718,3787.94,171.796043,0.0681068,1.0786893,0.00163,1.172682,-1.641266,0.25,24.8,22.3,27.5
1171,9.26,-0.8031899,-0.8982476,-0.5706986,4,6.23,62.1042452,343.1780509,2888.09,316.6263519,0.0189571,0.1611606,0.0038,0.0941535,0.861903,-0.58,32.1,28.1,36.6
427,12.25,-1.771612,-0.2623242,0.9254437,15,10.76,26.3701014,281.5420508,4755.53,117.133751,0.0377615,0.37932,0.00156,0.757046,0.9755313,0.19,24.7,21.6,28.4
1211,10.59,0.5749981,0.2446306,1.244894,45,20.59,471.7523904,800.6470045,3993.17,798.8493052,0.0240229,0.2744856,0.000272,0.3716165,0.8760452,1.0,27.7,24.2,32.1
910,12.43,0.7636815,0.4737132,0.3858919,21,14.04,249.0753604,806.1206244,5375.68,411.2272622,0.0164802,0.3407926,0.000472,0.4889612,0.6132535,0.82,33.1,29.1,37.1
2443,6.95,0.4463597,0.6910397,-0.8659489,50,8.1,115.2245611,142.6671081,5198.03,902.8784448,0.0069633,0.1376406,0.00136,-0.0277372,-1.554225,-0.23,24.9,21.0,29.3
2586,5.91,0.1743879,0.5861144,1.20993,39,5.56,88.1671117,337.6123993,2682.67,115.8257027,0.0160262,0.176892,0.000452,0.1389544,1.003947,0.95,27.6,25.4,30.1
326,9.1,-1.348354,1.331174,0.1400327,2,17.79,64.2945933,477.2793247,4560.51,171.0687613,0.0253166,0.5156023,0.0007,0.6621775,-1.572521,0.12,23.2,19.9,26.4
1026,12.2,0.7804738,1.290809,0.5650444,44,13.47,107.3668815,1365.048296,5324.6,263.7501274,0.035126,0.6619015,0.000624,1.195276,1.131315,1.55,27.2,24.1,30.2
382,12.18,-0.6716798,-0.7713308,-0.3891413,11,11.44,51.9360541,266.2789227,4392.44,193.0971852,0.0075541,0.1797446,0.000123,-0.456622,-0.3847255,-0.86,28.0,24.3,32.3
1687,11.12,0.5050061,0.5831673,0.6534434,41,10.72,467.4948685,499.4412012,8630.28,1139.196854,0.0259234,0.3682844,0.000409,0.8125261,0.1933663,0.92,30.6,26.8,35.6
156,10.97,0.0975051,-0.8015488,-0.7548001,10,7.67,35.7147964,257.1941654,809.39,94.7684809,0.0091494,0.1273316,6.4e-06,-0.9328406,0.0663025,-0.87,30.9,26.8,35.3
619,11.08,0.8327726,-0.065296,0.166672,34,7.53,229.9860511,406.9569067,3667.4,230.4103013,0.014408,0.4929217,1.29,0.8072327,1.188955,0.77,27.6,23.7,31.5
1842,11.01,0.1028014,0.2645377,0.8136615,13,15.16,465.6898543,403.3118919,8295.82,1148.248784,0.0474988,0.3843125,0.00193,1.100704,-1.520229,0.52,27.8,24.3,31.8
446,12.56,-0.5661347,-0.6437495,0.6740406,18,16.17,54.6411013,272.0542486,5322.61,112.9951147,0.0146469,0.3159028,0.000244,0.1821223,-0.3785382,-0.17,26.1,22.3,30.3
1197,9.37,0.298245,0.1561049,0.9953185,13,9.15,186.1693024,445.7986804,3955.84,401.81664,0.0205996,0.3399508,0.000592,0.2908261,0.8415855,0.76,31.0,26.8,35.4
1270,7.26,1.107714,0.611234,1.682049,45,11.97,13.1325424,109.2640796,1698.63,338.4865939,0.0268557,0.0979374,0.000639,0.1202828,1.017946,1.39,20.9,18.3,23.6
2511,6.99,0.4496679,0.8098161,0.6743504,41,7.67,142.0652985,275.0817503,5786.74,275.8880068,0.0130102,0.3083578,0.000293,0.2461927,0.7650309,0.91,27.2,23.3,31.3
2226,6.31,-0.0660701,-2.106406,0.269546,16,3.9,4.701672,113.5078841,2210.12,219.0968106,0.0166345,0.2396472,0.000542,-0.10297,0.5760754,-0.66,22.2,18.5,26.2
1461,9.08,0.7602418,0.8737852,0.9680028,40,7.58,260.4838461,296.1672196,4077.99,371.0390625,0.058263,0.5715416,0.00172,1.25188,0.9571806,1.52,25.5,21.8,29.6
2105,6.41,-0.2166115,-1.175854,-0.0902844,9,4.87,5.9977558,104.0466233,1047.1,161.222074,0.0048336,0.1253047,9.88e-05,-1.036386,0.6692761,-0.78,23.8,20.3,28.3
116,11.94,-0.1362763,-0.6911113,0.8547443,37,9.22,11.7582001,128.6882681,1163.29,44.749916,0.027595,0.3448615,0.00012,0.4520146,0.8778791,0.33,28.5,25.2,32.3
2486,10.79,0.1031255,-0.4497158,-0.636122,26,9.75,284.8023204,732.6996444,6238.66,1684.78982,0.0131278,0.2213436,0.000204,0.2696594,1.068897,-0.08,28.7,24.9,32.8
929,12.53,0.0127217,-0.6229107,-0.0309615,26,11.49,453.6097355,633.4769128,5911.38,511.367055,0.017385,0.2688983,0.000295,0.163041,0.8031194,-0.04,32.3,28.3,36.6
547,11.97,0.6829927,0.7355481,0.4090322,21,9.63,209.0268704,203.548683,3118.5,204.0884369,0.0169729,0.5069821,0.000267,0.3512944,1.226469,0.97,27.5,23.4,31.6
1257,6.44,0.6573144,0.1122731,0.0234765,21,8.47,107.4136936,278.9564753,2804.47,621.5679157,0.0030767,0.0342395,5.58e-05,-1.111007,1.01367,0.04,22.6,19.1,26.3
1671,12.22,0.8455129,0.857069,-1.043165,49,13.15,101.9763831,416.5904047,6243.0,316.5850746,0.0149924,0.4500457,9.6e-05,0.422768,0.3029948,0.39,29.6,25.0,34.6
844,12.19,-0.1840427,-0.3455403,0.0179281,8,12.06,439.0417661,1151.604351,7014.79,628.5848049,0.0331142,0.5656722,0.000937,0.8826969,0.8299693,0.29,31.7,28.3,35.2
1598,6.41,0.8237554,0.8020568,-0.5759335,50,6.76,40.3597628,291.8099401,3100.36,12.7646856,0.0042248,0.1584964,5.98e-05,-1.004525,-0.4012845,-0.1,24.7,21.0,28.8
1894,11.41,-0.8284978,-0.284566,1.149528,18,10.17,371.7444342,730.1793968,6529.85,1256.61405,0.0348668,0.3603137,0.000724,1.015513,0.9199424,0.61,27.3,24.7,30.3
1778,7.29,0.5645202,0.0098532,0.7838069,36,9.02,15.0320888,69.0624634,4937.58,1689.709602,0.082694,0.1463734,0.000461,0.7154004,1.039655,0.89,28.3,24.8,32.1
1551,12.38,-0.1388201,0.5535113,0.0809805,24,15.47,493.3575011,1557.922483,8993.12,1299.924653,0.0230432,0.321752,0.000448,0.5453077,0.9820249,0.58,23.9,20.3,28.1
1851,12.15,-0.22118,0.7980669,-0.3137601,1,12.54,569.1458829,1487.323682,8284.77,1520.106989,0.0240121,0.4744815,0.000348,0.4020191,-1.521065,-0.02,27.7,23.6,32.3
2113,9.84,0.0895533,-0.3126,0.1271872,8,7.96,187.5364871,889.3070748,4656.5,899.3484794,0.0085047,0.2137352,0.00011,-0.3118986,0.61854,-0.04,27.9,23.6,32.6
1965,13.17,0.7901305,0.0560057,0.418476,34,20.47,485.0490026,1479.176524,7831.55,814.6689252,0.0655048,0.5874111,0.00091,1.197868,-0.0240711,0.81,28.5,24.7,32.7
2338,11.61,0.8014706,0.0614748,-0.4038615,26,13.05,479.1920109,763.2267676,6626.26,1754.931605,0.0090793,0.2640752,0.00018,-0.0938092,-0.3139159,0.01,26.5,22.3,30.4
903,12.1,-0.5368715,-2.168438,-1.916306,20,11.24,173.0129992,622.738388,5123.86,629.7489245,0.0069688,0.2068388,0.00177,-0.4588536,-1.527089,-2.12,37.9,33.5,42.5
2032,13.46,-0.3530294,0.3187798,-0.0988057,24,17.74,789.6140174,1232.949533,42046.75,1050.111704,0.0323738,0.4292067,0.0716,0.7637637,-0.0336314,0.25,30.0,25.8,34.2
1887,11.39,-1.10216,-0.7079041,0.1307581,3,10.43,525.4631308,1152.309661,6236.04,1977.526902,0.0104424,0.2198295,0.000178,0.2289419,0.9179638,-0.28,28.4,24.3,32.6
817,9.32,0.6296322,0.8816636,0.2512854,42,9.08,236.1644758,463.1807762,4466.88,257.5426527,0.0068733,0.2721745,0.000123,-0.3324867,0.1571909,0.52,23.2,19.8,27.1
2194,8.95,-0.9625179,0.8097812,0.4471519,2,9.87,96.7270357,729.1562313,6929.61,1022.537771,0.0197965,0.3292105,0.000201,0.1439708,0.651349,0.38,25.3,21.4,29.7
1984,12.8,-1.187713,-1.333679,-0.5683733,7,11.46,525.9546333,692.2351212,10346.91,842.8503114,0.0132414,0.216932,0.000238,-0.1398067,-0.3294165,-1.16,31.9,27.2,36.9
856,13.07,-0.8683439,-1.651223,0.2544191,7,16.84,261.3034197,831.5555099,5370.36,777.8899386,0.0189269,0.2470955,0.000314,0.0278444,-0.0689657,-0.79,34.5,30.7,38.3
393,14.3,0.3875526,-0.2206231,0.5729169,33,18.34,102.9660722,437.7081796,2367.55,178.0031079,0.0434753,0.5156921,0.00136,1.043418,-0.281341,0.54,27.2,23.6,31.1
1723,6.7,0.1454806,-1.981506,0.1386662,16,5.08,9.9212284,114.2584403,1044.57,331.5409104,0.00063,0.0816433,9.9e-06,-1.795751,-0.4196697,-1.37,28.4,24.2,32.6
753,8.28,0.7278886,0.4742145,0.2122106,42,15.4,91.5063894,336.9654766,4140.17,169.5043298,0.0070352,0.3143086,4.03e-05,-0.3114718,0.1472377,0.38,26.5,22.6,30.7
2395,12.28,-0.6515626,-0.4898007,0.3239349,18,17.15,12180.53083,8652.602948,11480.35,8035.317131,0.052186,1.1715312,0.00276,1.456278,-1.55537,-0.04,26.8,23.6,30.4
265,11.05,0.7756181,0.9825106,1.039141,40,18.52,49.3061286,1683.441177,5708.37,587.8543584,0.1136683,0.8850386,0.00165,1.596831,1.149352,1.74,24.5,23.0,26.1
1035,11.96,-0.0291791,1.509105,0.8097482,25,20.58,98.761841,1151.493674,6043.11,243.8823524,0.0756806,1.2119451,0.00171,1.491985,-1.532708,1.1,20.5,18.6,22.8
526,7.32,0.9066754,0.0142987,1.839145,45,8.17,2.950273,256.4354545,3635.11,279.4131638,0.0017555,0.024008,3.72e-05,-1.747751,-0.1379591,0.29,21.2,18.1,25.1
296,8.49,-2.572191,-1.735942,-0.4501051,12,9.94,146.1146703,420.0220782,3463.55,205.6075304,0.0109041,0.2943973,0.000216,-0.2690367,-1.548036,-1.93,29.0,24.7,33.5
295,10.37,-2.070341,-1.335893,-1.285058,6,12.57,42.0413995,270.6988184,4472.45,125.4662318,0.0052142,0.1946408,8.73e-05,-0.5446278,-1.54671,-2.04,30.1,25.9,35.0
429,12.42,-0.4053463,-0.5943327,0.5033655,18,12.65,215.4170462,721.8851575,4886.77,620.6176057,0.0143261,0.2593718,0.000357,0.2943776,-0.257137,-0.1,27.4,23.4,31.9
2563,8.19,0.1745083,0.7369083,0.2774953,23,7.59,475.3333269,355.8904776,5296.76,293.4064131,0.0043602,0.2644408,4.89e-05,-0.2873136,0.6568221,0.45,26.2,22.2,30.4
2501,13.53,0.2219701,0.1909817,0.8611224,13,18.63,703.3933702,473.9481656,10138.55,720.0928912,0.0579481,0.757456,0.023,1.723126,1.0278,1.24,30.0,27.0,33.3
155,11.09,0.2596362,-1.557577,-0.2445652,9,6.87,40.4088493,171.7412519,1299.23,176.9457419,0.0033128,0.2265003,1.4e-06,-1.077935,-0.3708908,-1.06,29.9,25.4,34.4
2561,9.19,0.4149386,1.228496,0.4358301,44,10.21,1105.584492,2387.494374,11058.71,595.63962,0.0172361,0.6322285,0.000101,1.072067,0.7589207,1.26,25.6,22.0,29.1
982,10.84,0.032327,-1.385286,-0.2165989,9,6.15,134.6762582,199.9186222,3526.63,177.2509017,0.010413,0.3071928,0.000246,-0.1272192,-1.548721,-0.94,29.6,25.5,33.9
65,11.58,-0.8864514,-2.691107,-1.320324,20,11.57,13.9836295,145.3216357,561.15,7.7479082,0.0030797,0.1126576,7.25e-05,-0.525683,-1.065692,-2.14,27.2,23.0,31.7
1828,10.61,0.3265982,-1.173437,-0.7740573,35,7.62,533.0396334,665.6749286,5672.33,1092.477065,0.0035057,0.1621226,4.57e-05,-0.5402995,-1.523163,-1.11,29.9,25.2,34.9
2282,12.03,0.5857379,0.5519289,0.40479,21,13.6,453.0107802,1022.140442,8867.97,1289.77411,0.0063164,0.2632878,0.000102,-0.1243985,-1.47234,0.2,29.2,25.1,33.5
105,11.0,0.0077851,-0.4368417,-0.6540194,26,8.33,168.9439841,341.2779129,1013.09,241.0118549,0.0072692,0.1576929,8e-07,-0.7833945,0.0609835,-0.66,29.7,25.6,34.1
896,13.51,0.5824997,-0.0698173,0.5066261,34,19.8,126.7210525,710.6035747,4820.97,483.5250383,0.0373572,0.4836616,0.000924,1.002275,0.9739888,0.85,30.4,26.6,34.5
2298,11.65,-0.0527785,-0.68679,-0.6729091,10,11.41,376.6663668,531.9481586,5683.34,1612.042534,0.0057478,0.2073747,8.42e-05,-0.3254176,-0.90926,-0.81,28.5,24.3,33.1
1505,14.4,0.5041903,0.2088547,-0.451059,22,18.59,264.8504391,1147.315287,20265.53,1390.017751,0.0570217,0.5693794,0.000941,1.396722,1.011492,0.73,30.9,26.9,34.8
467,12.22,-0.8420872,-1.384937,-2.239901,14,14.14,55.438351,232.7602547,5052.54,72.9042086,0.0072807,0.2115421,0.000123,-0.3397005,-0.3840473,-1.77,28.4,24.0,33.1
614,11.26,0.1054581,0.5917814,-0.3536206,22,8.4,154.9807507,259.496401,3635.4,235.2197734,0.0048879,0.3750603,0.000109,-0.0995802,1.112579,0.3,26.6,22.6,31.0
1116,11.37,0.4469453,-1.820043,-2.100004,20,6.6,106.1259746,248.8663515,3706.31,358.8659843,0.0113341,0.3184057,0.000282,-0.0164617,-1.541804,-1.63,29.3,25.0,34.1
2196,9.45,-1.163644,-0.8121722,0.263011,3,5.84,319.4468346,628.9579658,1825.64,974.6012584,0.0093028,0.276528,0.000163,-0.1009671,0.6780315,-0.45,28.0,24.0,32.7
476,11.76,-0.8318158,-1.066759,-0.9819383,4,12.29,33.1445608,260.4796414,4428.8,105.8330344,0.0085985,0.2687809,0.000181,-0.2593277,-0.3432682,-1.15,27.0,22.8,31.7
1476,9.98,0.7231855,0.0183056,0.4378297,34,5.75,216.589266,235.553877,4320.4,512.6126589,0.0129386,0.1799669,0.000131,0.1169746,-0.0336668,0.4,26.6,22.6,30.9
1809,10.65,0.4122028,0.3882563,0.4203575,21,7.84,344.1046498,268.0374428,5488.38,932.840698,0.0264065,0.248401,0.000416,0.5681459,-1.524024,0.33,27.7,23.9,31.8
2509,6.76,-0.0971702,-0.2795753,0.9339168,13,7.31,46.8579045,381.1922977,6666.38,501.834662,0.0039392,0.1569037,1.34e-05,-0.7210758,0.6628469,0.08,27.7,23.6,32.3
35,13.06,-0.310751,-0.2539756,0.1859785,8,13.06,13.2955177,148.8205734,952.67,124.8445632,0.0175012,0.3397732,0.000289,0.3244386,-0.9343106,-0.18,31.5,27.4,35.9
2245,7.13,-0.8803339,-3.331409,-0.4574854,19,8.79,7.853246,34.5503193,3659.18,913.1088862,0.0044663,0.0514583,6.71e-05,-0.8739239,0.6218594,-1.88,23.9,19.7,28.7
1235,9.69,0.3421331,-0.0283889,0.5289091,13,8.26,525.5376165,386.367406,3962.93,396.6928401,0.0189711,0.3406742,0.00033,0.1625544,0.8552037,0.49,29.7,25.7,33.5
1213,11.07,-0.6679371,-1.118175,-0.0659919,7,5.54,34.4464376,269.3381517,1861.1,269.5802928,0.0040377,0.1527348,5.13e-05,-0.9206931,0.8829974,-0.79,30.5,26.3,34.9
2114,8.65,-0.27119,-0.1990821,1.459114,31,7.88,292.7177108,498.7088823,3625.69,1280.417572,0.0060642,0.2703207,7.29e-05,-0.1576622,0.0147873,0.33,25.5,22.0,30.2
245,6.35,0.3057468,0.5785716,0.9956276,39,7.15,19.5983414,266.0760548,1386.79,124.6276831,0.0058278,0.1039138,2.83e-05,-0.9762737,0.8775404,0.49,28.3,24.1,32.4
299,8.17,-1.734842,-0.6345307,0.5147587,15,10.02,68.9359928,362.0881087,3768.51,199.6924538,0.0183788,0.3173043,0.000445,0.1231608,-1.557702,-0.79,27.2,23.4,31.2
475,12.84,-0.3310417,-0.0296816,0.9775736,13,14.86,57.1712328,219.6373825,1215.7,43.9398683,0.029519,0.3543889,0.000577,0.7858326,-0.3198728,0.47,26.5,22.8,31.1
696,12.23,0.2562126,0.8280398,-0.2278426,22,20.99,141.8141914,507.8891611,4726.03,295.9012868,0.0211879,0.4522586,0.00027,0.4503947,0.9154651,0.63,31.0,26.4,35.7
2086,6.87,0.0780932,-1.051585,0.632387,16,4.7,7.8684834,127.7773541,678.9,265.6204478,0.0046464,0.1399277,6.97e-05,-0.8307554,-1.531103,-0.73,28.6,24.2,33.5
2091,8.77,-0.297571,-0.605718,0.7615805,37,7.27,243.2048257,458.7585716,2973.01,1270.700942,0.0032966,0.2997011,4.3e-05,-0.4201958,0.6506013,-0.06,24.6,20.8,29.0
1495,12.15,0.2456584,0.7920092,0.0533001,22,15.23,259.5693184,685.2338619,7233.52,1624.120316,0.0216388,0.3045239,0.000561,0.5472292,1.043021,0.78,22.8,19.4,26.5
31,11.85,-0.4426979,-2.010546,-0.2798887,19,11.83,12.2628851,160.5127049,632.23,11.7126958,0.0047504,0.1604864,0.000189,-0.2028892,-1.161637,-1.28,25.6,21.4,30.1
1738,8.9,-0.7920737,0.3814105,0.3862778,2,11.09,127.793615,716.8524785,4840.43,1578.280333,0.0093403,0.2127894,0.000225,-0.2830108,-0.3677602,-0.1,28.1,24.1,32.2
2006,16.26,-0.1146949,0.4573372,1.155627,39,22.12,554.6233472,2548.380011,12955.98,1240.974482,0.0641061,0.8774125,0.0386,1.647323,0.8763268,1.3,26.4,23.7,29.2
831,11.77,0.8669592,0.266975,0.8224674,36,13.0,223.0146016,739.9350006,4909.98,434.3297509,0.0224128,0.5172259,0.000449,0.612146,0.6421977,0.98,30.8,26.6,35.3
422,12.51,-1.238647,-0.5583696,0.6898077,15,12.48,69.6827862,330.7657787,4352.98,253.1676687,0.0202909,0.2213749,0.000387,0.2562324,-0.2855141,-0.27,26.3,22.8,30.1
756,9.05,0.7795967,0.7493034,0.1724631,42,14.33,85.3437695,388.9705118,4035.42,210.7859644,0.0052656,0.3441465,8.57e-05,-0.3164349,0.1988221,0.49,24.6,20.8,28.8
